competitor_id,name,country,country_code
sr:competitor:119216,"Herrero Linana, Alicia",Spain,ESP
sr:competitor:105099,"Birrell, Kimberly",Australia,AUS
sr:competitor:662615,"Salkova, Dominika",Czechia,CZE
sr:competitor:60392,"Sorribes Tormo, Sara",Spain,ESP
sr:competitor:70728,"Bhosale, Rutuja",India,IND
sr:competitor:71034,"Sramkova, Rebecca",Slovakia,SVK
sr:competitor:19728,"Cirstea, Sorana",Romania,ROU
sr:competitor:233266,"Ovcharenko, Ekaterina",Neutral,
sr:competitor:378340,"Corley, Carmen",USA,USA
sr:competitor:325837,"Sakellaridi, Sapfo",Greece,GRC
sr:competitor:627278,"Eala, Alexandra",Philippines,PHL
sr:competitor:453301,"Jorge, Matilde",Portugal,PRT
sr:competitor:245295,"Waltert, Simona",Switzerland,CHE
sr:competitor:870981,"Li, Yu-Yun",Chinese Taipei,TPE
sr:competitor:195408,"Shimizu, Ayano",Japan,JPN
sr:competitor:98523,"Ye, Qiu Yu",China,CHN
sr:competitor:473609,"Kubka, Martyna",Poland,POL
sr:competitor:805538,"Cross, Kayla",Canada,CAN
sr:competitor:506786,"Zamarripa, Allura",USA,USA
sr:competitor:161270,"Salden, Lara",Belgium,BEL
sr:competitor:42289,"Linette, Magda",Poland,POL
sr:competitor:102637,"McAdoo, Rasheeda",USA,USA
sr:competitor:52695,"Moratelli, Angelica",Italy,ITA
sr:competitor:80427,"Osborne, Alexandra",Australia,AUS
sr:competitor:517274,"Rajecki, Amelia",Great Britain,GBR
sr:competitor:1022815,"Akli, Ayana",USA,USA
sr:competitor:211262,"Danilovic, Olga",Serbia,SRB
sr:competitor:882091,"Valdmannova, Vendula",Czechia,CZE
sr:competitor:278943,"Lansere, Sofya",Neutral,
sr:competitor:88494,"Christie, Freya",Great Britain,GBR
sr:competitor:168526,"Appleton, Emily",Great Britain,GBR
sr:competitor:98733,"Burillo Escorihuela, Irene",Spain,ESP
sr:competitor:20158,"Webley-Smith, Emily",Great Britain,GBR
sr:competitor:223862,"Laboutkova, Aneta",Czechia,CZE
sr:competitor:59762,"Barnett, Alicia",Great Britain,GBR
sr:competitor:290994,"Wong, Hong Yi Cody","Hong Kong, China",HKG
sr:competitor:203893,"Kucmova, Aneta",Czechia,CZE
sr:competitor:64315,"Kuwata, Hiroko",Japan,JPN
sr:competitor:111189,"Zarazua, Renata",Mexico,MEX
sr:competitor:152106,"Zaar, Lisa",Sweden,SWE
sr:competitor:46625,"Raina, Ankita",India,IND
sr:competitor:880229,"Cayetano, Eryn",USA,USA
sr:competitor:53288,"Silva, Eden",Great Britain,GBR
sr:competitor:192108,"Yastremska, Dayana",Ukraine,UKR
sr:competitor:319455,"Baptiste, Hailey",USA,USA
sr:competitor:87834,"Hon, Priscilla",Australia,AUS
sr:competitor:278887,"Kostyuk, Marta",Ukraine,UKR
sr:competitor:85077,"Muchova, Karolina",Czechia,CZE
sr:competitor:69988,"Korpatsch, Tamara",Germany,DEU
sr:competitor:568715,"Semenistaja, Darja",Latvia,LVA
sr:competitor:222546,"Kuzmova, Katarina",Slovakia,SVK
sr:competitor:230108,"McGiffin, Tenika",Australia,AUS
sr:competitor:52025,"Wang, Yafan",China,CHN
sr:competitor:52183,"Bara, Irina Maria",Romania,ROU
sr:competitor:246945,"Da Silva Fick, Gabriella",Australia,AUS
sr:competitor:448123,"Broadus, Savannah",USA,USA
sr:competitor:226092,"Shimizu, Eri",Japan,JPN
sr:competitor:142758,"Zhang, Ying",China,CHN
sr:competitor:71250,"Frech, Magdalena",Poland,POL
sr:competitor:227486,"Zantedeschi, Aurora",Italy,ITA
sr:competitor:148276,"Zheng, Wushuang",China,CHN
sr:competitor:41877,"Yuan, Yue",China,CHN
